Time Point,Shelf Type,Treatment,Sample Name,NO3 (uM),PO4 (uM),SiO2 (uM),chl a large cells (ug/L),chl a small cells (ug/L),Absolute NO3 Uptake (?NO3) large cells (umol/L/day),Absolute NO3 Uptake (?NO3) small cells (umol/L/day),Biomass-normalized NO3 Uptake (VNO3) large cells (per day),Biomass-normalized NO3 Uptake (VNO3) small cells (per day),Absolute DIC Uptake (?DIC) large cells (umol/L/day),Absolute DIC Uptake (?DIC) small cells (umol/L/day),Biomass-normalized DIC Uptake (VDIC) large cells (per day),Biomass-normalized DIC Uptake (VDIC) small cells (per day)
T0,Wide,DW,Q1,17.2,1.83,25.8,0.025482,0.0151248,0.0176493,0.0216126,0.0888762,0.0751803,0.0595291,0.040746,0.0701,0.0455
T0,Wide,DW,Q2,14.2,1.57,18.4,0.01644,0.012741,0.0250794,0.0234966,0.0505332,0.0674664,0.1590755,0.059443,0.0166,0.0128
T0,Wide,DW,Q3,16.8,1.8,23.5,0.0146316,0.018084,0.0316173,0.0603655,0.1322857,0.1560676,0.0790044,0.073758,0.0551,0.0428
T1,Wide,Ctrl,Q4,14.2,1.73,18.5,0.050142,0.0422508,0.0439205,0.0186226,0.1933205,0.0661,0.088369,0.035445,0.1979,0.0428
T1,Wide,Ctrl,Q5,13.3,1.57,16.8,0.0138918,0.072336,0.0319925,0.0198316,0.1251481,0.0814871,0.0194844,0.046179,0.1684,0.0705
T1,Wide,Ctrl,Q6,17.1,1.96,23.7,0.073158,0.161934,0.0454347,0.0473037,0.2142335,0.1766132,0.1374126,0.063333,0.1326,0.0785
T1,Wide,Fe,Q7,15.5,1.77,20.8,0.0379764,-0.0212898,0.0365128,0.0198222,0.2404979,0.0655741,0.0112309,0.065944,0.2203,0.0619
T1,Wide,Fe,Q8,16.3,1.9,22.2,0.0327156,0.0170976,0.0400893,0.026857,0.1986709,0.0944961,0.146125,0.05289,0.1306,0.0816
T1,Wide,Fe,Q9,16.8,1.81,23.2,0.0447168,0.0333732,0.0537238,0.0315632,0.2301396,0.1091926,0.0735649,0.044721,0.2162,0.1055
T1,Wide,DFB,Q10,13.7,1.53,18.7,0.0329622,0.0144672,0.0209448,0.0217596,0.1147165,0.0780535,0,0.061602,0.099,0.1006
T1,Wide,DFB,Q11,16.9,1.86,23.5,0.0371544,0.0108504,0.0275775,0.021552,0.170076,0.0917992,0,0.015377,0.1137,0.0629
T1,Wide,DFB,Q12,22.1,2.33,34.5,0.048909,0.0173442,0.0418645,0.0362833,0.1943991,0.1295654,0.0141099,0.045975,0.161,0.0571
T2,Wide,Ctrl,Q13,17.9,1.69,23.5,0.692124,0.041922,0.3200585,0.0412625,0.4755518,0.1329647,4.3307685,0.177164,1.1713,0.1938
T2,Wide,Ctrl,Q14,18.1,1.73,23.8,0.512928,0.219474,0.3635787,0.0501262,0.4529512,0.1266896,4.6953424,0.243395,1.2408,0.151
T2,Wide,Ctrl,Q15,14.8,1.5,20.7,0.777612,0.112614,0.3447995,0.038789,0.4080858,0.1076469,5.542987,0.239686,1.2703,0.184
T2,Wide,Fe,Q16,17.7,1.89,24.7,0.512106,0.0548274,0.3659429,0.049665,0.4323325,0.1565171,4.4863593,0.174987,1.1582,0.1862
T2,Wide,Fe,Q17,16.3,1.9,21.6,1.00284,0.133164,0.3019542,0.2442622,0.4167033,0.3691268,4.4140125,3.178241,1.3,0.9277
T2,Wide,Fe,Q18,15.8,1.94,22.3,0.87954,0.0766104,0.3458859,0.0349944,0.4220842,0.0842551,5.2963382,0.094358,1.2695,0.1659
T2,Wide,DFB,Q19,19.6,2.09,26.3,0.0822822,0.0406068,0.030429,0.0176131,0.125243,0.0426665,0,0.011524,0.1194,0.0639
T2,Wide,DFB,Q20,18.3,2.03,26.8,0.11919,0.063294,0.0354091,0.0162029,0.1711981,0.0527369,0.0220002,0.047021,0.142,0.0915
T2,Wide,DFB,Q21,19.8,2.14,29.8,0.036168,0.0276192,0.0303242,0.0319094,0.114007,0.1149364,0.023625,-0.000176,0.1525,0.0859
